time,viable_cells,volume
0,0.1743,0.27
17,0.2313,0.274788732
23,0.2874,0.276478873
29,0.3516,0.278169014
41,0.5024,0.281549296
47,0.6532,0.283239437
52.5,0.7266,0.284788732
65,1.2097,0.288309859
5,0.1722,0.271408451
101,4.8692,0.298450704
113,6.9431,0.301830986
119,7.6707,0.303521127
125,9.5081,0.305211268
137,10.7372,0.308591549
143,9.9239,0.31028169
149,11.6095,0.311971831
161,10.1889,0.315352113
167,10.1359,0.317042254
184.5,7.7594,0.321971831
71,1.5694,0.29
89,3.0287,0.295070423
95,3.8267,0.296760563
0,0.1427,0.27
17,0.2283,0.274788732
23,0.2619,0.276478873
29,0.3149,0.278169014
41.5,0.4331,0.281690141
47,0.5289,0.283239437
52.5,0.5952,0.284788732
65,1.0283,0.288309859
5,0.2028,0.271408451
101,4.0723,0.298450704
113.5,5.5418,0.301971831
119,6.3479,0.303521127
125,7.5912,0.305211268
137,10.2562,0.308591549
143.5,9.9097,0.310422535
143,10.4457,0.31028169
149,10.9614,0.311971831
161,10.2134,0.315352113
167,9.3573,0.317042254
184.5,7.8878,0.321971831
71,1.3462,0.29
89,2.6028,0.295070423
95,3.3701,0.296760563
0,0.1315,0.27
4.5,0.1773,0.271267606
16.5,0.2884,0.274647887
22.5,0.3546,0.276338028
28.5,0.3964,0.278028169
40.5,0.6767,0.281408451
46.5,0.906,0.283098592
50.5,1.1801,0.284225352
52.5,1.2076,0.284788732
64.5,1.8547,0.288169014
70.5,2.457,0.289859155
76.5,3.1001,0.291549296
100.5,5.8384,0.298309859
89,4.3424,0.295070423
94.5,4.6511,0.296619718
113,6.7199,0.301830986
118.5,8.6164,0.303380282
124.5,8.8559,0.305070423
137,10.5649,0.308591549
147.5,17.773,0.311549296
160.5,8.2169,0.315211268
166.5,7.9713,0.316901409
0,0.1417,0.27
12.5,0.2048,0.273521127
18,0.2517,0.275070423
24,0.319,0.276760563
36,0.482,0.280140845
42,0.5962,0.281830986
48,0.7103,0.283521127
60,1.1597,0.286901409
67.5,6.14,0.289014085
66,1.4746,0.288591549
72,1.8048,0.29028169
84.5,2.7505,0.293802817
90,3.3171,0.295352113
96,4.0998,0.297042254
108.5,5.7314,0.30056338
114,6.992,0.302112676
120,7.8297,0.303802817
132.5,9.5081,0.307323944
138,10.299,0.308873239
0,0.1345,0.27
13,0.2232,0.273661972
19.5,0.268,0.275492958
25.5,0.3495,0.277183099
66.5,1.5409,0.288732394
37.5,0.6461,0.28056338
49.5,0.8815,0.283943662
61,0.908,0.287183099
72.5,2.0718,0.290422535
91,3.5108,0.295633803
85,3.0104,0.293943662
97,4.0703,0.297323944
109,5.9729,0.300704225
121,7.7798,0.304084507
115,6.727,0.302394366
133,9.2391,0.307464789
139.5,10.0197,0.309295775
145,10.2745,0.31084507
157.5,10.5975,0.314366197
169.5,12.2882,0.317746479
181.5,10.3,0.321126761
15,0.2364,0.274225352
3,0.1794,0.27084507
111.5,2.7495,0.301408451
117,2.8912,0.302957747
123,3.7177,0.304647887
134.5,4.539,0.307887324
147,5.6896,0.311408451
158,7.8837,0.314507042
165,9.9025,0.316478873
171,9.6365,0.318169014
183,10.0992,0.321549296
189,9.2044,0.323239437
213,8.2924,0.33
21,0.2558,0.275915493
27,0.3108,0.277605634
39,0.426,0.280985916
45,0.4321,0.282676056
50.5,0.6227,0.284225352
63,0.7562,0.287746479
69,0.8581,0.28943662
75,1.0833,0.291126761
93,1.6173,0.296197183
99,1.8945,0.297887324
0,0.1763,0.27
141,5.0771,0.30971831
0,0.1732,0.27
6,0.1834,0.271690141
41.5,0.4576,0.281690141
46,0.536,0.282957747
47.5,0.5401,0.283380282
17.5,0.2079,0.274929578
23.5,0.2833,0.276619718
30,0.3964,0.278450704
53.5,0.8346,0.285070423
65.5,0.9498,0.288450704
68.5,0.9498,0.289295775
70.5,1.2046,0.289859155
77.5,1.709,0.291830986
101.5,2.9442,0.298591549
90,2.2481,0.295352113
94,2.2023,0.296478873
95.5,2.3082,0.296901409
114.5,4.5105,0.302253521
119.5,4.803,0.303661972
125,5.3146,0.305211268
138,7.3314,0.308873239
143.5,8.4371,0.310422535
149.5,8.008,0.312112676
162,11.0276,0.315633803
167.5,10.9023,0.317183099
173.5,9.662,0.318873239
189.5,9.9647,0.323380282
185.5,9.6651,0.322253521
17.5,0.2741,0.274929578
0,0.158,0.27
6,0.1814,0.271690141
41.5,0.5279,0.281690141
46,0.5941,0.282957747
47.5,0.6135,0.283380282
23.5,0.2904,0.276619718
29.5,0.3587,0.278309859
53.5,0.7715,0.285070423
66,1.0823,0.288591549
68.5,1.1658,0.289295775
70.5,1.3707,0.289859155
77.5,1.6672,0.291830986
101.5,3.2957,0.298591549
90,2.8596,0.295352113
94,2.6221,0.296478873
95.5,2.7189,0.296901409
114.5,5.8017,0.302253521
119.5,5.4236,0.303661972
125,6.2868,0.305211268
138,7.8735,0.308873239
143.5,10.1818,0.310422535
149.5,5.2677,0.312112676
162,11.6605,0.315633803
167.5,11.155,0.317183099
189.5,10.2949,0.323380282
185.5,10.6556,0.322253521
